city,state_id,lat,lng
New York,NY,40.6943,-73.9249
Los Angeles,CA,34.1139,-118.4068
Chicago,IL,41.8373,-87.6862
Miami,FL,25.7839,-80.2102
Dallas,TX,32.7936,-96.7662
Philadelphia,PA,40.0077,-75.1339
Houston,TX,29.7863,-95.3889
Atlanta,GA,33.7627,-84.4224
Washington,DC,38.9047,-77.0163
Boston,MA,42.3188,-71.0846
Phoenix,AZ,33.5722,-112.0891
Seattle,WA,47.6211,-122.3244
San Francisco,CA,37.7562,-122.443
Detroit,MI,42.3834,-83.1024
San Diego,CA,32.8312,-117.1225
Minneapolis,MN,44.9635,-93.2678
Tampa,FL,27.9942,-82.4451
Denver,CO,39.7621,-104.8759
Brooklyn,NY,40.6501,-73.9496
Baltimore,MD,39.3051,-76.6144
Las Vegas,NV,36.2333,-115.2654
Portland,OR,45.5372,-122.65
San Antonio,TX,29.4658,-98.5253
St. Louis,MO,38.6358,-90.2451
Sacramento,CA,38.5667,-121.4683
Orlando,FL,28.4772,-81.3369
San Jose,CA,37.3019,-121.8486
Cleveland,OH,41.4767,-81.6804
Pittsburgh,PA,40.4396,-79.9762
Austin,TX,30.3004,-97.7522
Cincinnati,OH,39.1413,-84.5061
Kansas City,MO,39.1239,-94.5541
Indianapolis,IN,39.7771,-86.1458
Columbus,OH,39.9862,-82.985
Charlotte,NC,35.208,-80.8304
Virginia Beach,VA,36.7335,-76.0435
Milwaukee,WI,43.0642,-87.9673
Providence,RI,41.823,-71.4187
Jacksonville,FL,30.3322,-81.6749
Salt Lake City,UT,40.7777,-111.9306
Nashville,TN,36.1715,-86.7843
Richmond,VA,37.5295,-77.4756
Memphis,TN,35.1046,-89.9773
Raleigh,NC,35.8325,-78.6435
New Orleans,LA,30.0687,-89.9288
Louisville,KY,38.1663,-85.6485
Oklahoma City,OK,35.4676,-97.5136
Buffalo,NY,42.9016,-78.8487
Tucson,AZ,32.1545,-110.8782
Omaha,NE,41.2627,-96.0522
Honolulu,HI,21.3294,-157.846
Albuquerque,NM,35.1053,-106.6464
Des Moines,IA,41.5725,-93.6105
Long Beach,CA,33.7981,-118.1675
Denton,TX,33.2176,-97.1419
Madison,WI,43.0826,-89.3931
Reno,NV,39.5497,-119.8483
Little Rock,AR,34.7256,-92.3576
Oakland,CA,37.7903,-122.2165
Boise,ID,43.6007,-116.2312
Anaheim,CA,33.839,-117.8572
Lexington,KY,38.0423,-84.4587
Henderson,NV,36.0133,-115.038
St. Paul,MN,44.9477,-93.104
Anchorage,AK,61.1508,-149.1091
Juneau,AK,58.4546,-134.1739
